Date,zscore
2022-05-26,1.2573017065415502
2022-05-27,1.3621873674725986
2022-05-30,1.3978543721926977
2022-05-31,1.8481800801694621
2022-06-01,2.5840985952386455
2022-06-02,2.605704346899616
2022-06-03,2.161604314542939
2022-06-06,1.8990238274946212
2022-06-07,2.0759862929656943
2022-06-08,1.1485262268490017
2022-06-09,0.6077164932696961
2022-06-10,0.9878564831570469
2022-06-13,0.7537708677925956
2022-06-14,1.2380099525806068
2022-06-15,1.289808947353895
2022-06-16,1.8471703789536178
2022-06-17,1.8386789955575333
2022-06-20,1.7813651805163866
2022-06-21,1.5922485176427803
2022-06-22,1.8583544593092325
2022-06-23,1.3724059275266078
2022-06-24,2.0750758142560226
2022-06-27,1.547738890899195
2022-06-28,1.6358586195076559
2022-06-29,1.466325690912543
2022-06-30,1.247937866236659
2022-07-01,1.1760068918992812
2022-07-04,1.141416670635411
2022-07-05,1.0397282733210536
2022-07-06,0.986248175692004
2022-07-07,1.2371130662006022
2022-07-08,1.0667901774554096
2022-07-11,1.0464207453043972
2022-07-12,1.1152774448106906
2022-07-13,1.1764283441597427
2022-07-14,0.26328126611649166
2022-07-15,0.6112636287936967
2022-07-18,-0.2732463550604872
2022-07-19,0.8026520231618282
2022-07-20,0.3575747455179597
2022-07-21,0.45338137962005937
2022-07-22,-0.10710737338869251
2022-07-25,0.8439752478773003
2022-07-26,0.7408961732072474
2022-07-27,1.008001186447692
2022-07-28,0.9096410742591658
2022-07-29,1.2203772665463908
2022-08-01,1.311953630210449
2022-08-02,1.5597997294923025
2022-08-03,2.025159130209128
2022-08-04,1.4925080974137757
2022-08-05,1.516195754628038
2022-08-08,0.8822689212606626
2022-08-09,0.6930017787247661
2022-08-10,1.2359274050187539
2022-08-11,0.8462454143783635
2022-08-12,1.9171832584424726
2022-08-15,2.2935856357211315
2022-08-16,2.5147334111247734
2022-08-17,1.9178633630520745
2022-08-18,2.3525264692557024
2022-08-19,1.8883453971804363
2022-08-22,1.5590734349657767
2022-08-23,1.683486235291374
2022-08-24,1.8123467541167342
2022-08-25,2.2242514641226383
2022-08-26,1.0880188248523475
2022-08-29,1.0161192132137231
2022-08-30,1.3750597216182814
2022-08-31,1.458979814925624
2022-09-01,1.992195657454251
2022-09-02,2.198494688658261
2022-09-05,2.12586382382563
2022-09-06,2.1067935357232535
2022-09-07,2.303665421806864
2022-09-08,2.1807795590202277
2022-09-09,2.357915172865345
2022-09-12,2.202971905404722
2022-09-13,1.4129373888966463
2022-09-14,0.7195354834465283
2022-09-15,-0.05749542840320213
2022-09-16,0.10057516872055283
2022-09-19,0.9276545817348227
2022-09-20,0.7430310200370004
2022-09-21,0.3354403886511423
2022-09-22,-0.5209730453910164
2022-09-23,-0.44956878147306073
2022-09-26,-0.357090822179227
2022-09-27,0.05906349049923709
2022-09-28,-0.011761099773975657
2022-09-29,-0.9929600260461058
2022-09-30,-1.0561948618526402
2022-10-03,-0.6981384517951102
2022-10-04,-1.582860436371901
2022-10-05,-1.709078054081551
2022-10-06,-1.712020857805695
2022-10-07,-1.2250180666159483
2022-10-10,-0.861202815385234
2022-10-11,-0.9716083123392103
2022-10-12,-1.28342111640383
2022-10-13,-1.9056097479701644
2022-10-14,-1.953824873934567
2022-10-17,-0.7338953943716577
2022-10-18,0.03317108880470038
2022-10-19,-0.3113265759825653
2022-10-20,-0.504055911274262
2022-10-21,0.10983175607490059
2022-10-24,0.0077853364968523365
2022-10-25,0.1397249707051237
2022-10-26,-1.103747065338296
2022-10-27,-0.8385918106771972
2022-10-28,-0.11311955483661484
2022-10-31,-0.44628446727197274
2022-11-01,-0.3609838757629553
2022-11-02,-1.2425673673293793
2022-11-03,-1.4211356952647018
2022-11-04,-1.351350412123858
2022-11-07,-1.2214342546239438
2022-11-08,-1.1982474526365674
2022-11-09,-1.0576608184189311
2022-11-10,-0.5556482160045899
2022-11-11,-1.0769535520122964
2022-11-14,-0.7838595888160946
2022-11-15,-0.3114453927577781
